#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-0.22, -14.67 	-3.28, -14.68 	-6.35, 1.41
11452   	-0.11, -14.54 	-7.87, -2.20 	-6.35, 1.41
11468   	-0.11, -14.54 	-7.87, -2.20 	-6.35, 1.41
11484   	-0.11, -14.54 	-7.87, -2.20 	-6.35, 1.41
11547   	-0.11, -14.54 	-7.87, -2.20 	-6.35, 1.41
11571   	-0.10, -14.50 	-7.87, -2.20 	-6.35, 1.41
11587   	-0.10, -14.50 	-7.87, -2.20 	-6.35, 1.41
11603   	-0.10, -14.50 	-7.88, -2.20 	-6.35, 1.41
11620   	-0.10, -14.50 	-7.87, -2.20 	-6.35, 1.41
11695   	-0.11, -14.58 	-7.87, -2.20 	-6.35, 1.41
11710   	-0.11, -14.58 	-7.87, -2.20 	-6.35, 1.41
11726   	-0.10, -14.54 	-7.87, -2.20 	-6.35, 1.41
11742   	-0.10, -14.54 	-7.87, -2.20 	-6.35, 1.41
11757   	-0.10, -14.54 	-7.87, -2.20 	-6.35, 1.41
