#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.09, -14.58 	-6.63, -10.86 	-4.76, -2.75
11419   	-0.06, -14.58 	-11.73, -14.71 	-4.76, -2.75
11500   	-0.07, -14.54 	-11.75, -14.77 	-4.76, -2.75
11515   	-0.07, -14.54 	-11.74, -14.73 	-4.76, -2.75
11530   	-0.08, -14.51 	-11.74, -14.77 	-4.76, -2.75
11546   	-0.08, -14.50 	-11.75, -14.73 	-4.76, -2.75
11561   	-0.08, -14.50 	-105.42, 342.05 	-4.76, -2.75
11638   	-0.07, -14.50 	-11.76, -14.85 	-4.76, -2.75
11654   	-0.07, -14.54 	-11.74, -14.85 	-4.76, -2.75
11670   	-0.07, -14.54 	-11.75, -14.92 	-4.76, -2.75
11686   	-0.07, -14.54 	-11.74, -14.92 	-4.76, -2.75
11764   	-0.08, -14.62 	-11.74, -14.92 	-4.76, -2.75
11779   	-0.08, -14.62 	-11.75, -14.83 	-4.76, -2.75
11803   	-0.08, -14.62 	-11.75, -14.87 	-4.76, -2.75
